raceId,round,circuitId,name,date,time,url
1,1,1,Australian Grand Prix,3/29/2009,6:00:00,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix
2,2,2,Malaysian Grand Prix,4/5/12009,9:00:00,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix
3,3,17,Chinese Grand Prix,4/19/2009,7:00:00,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
4,4,3,Bahrain Grand Prix,4/26/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
5,5,4,Spanish Grand Prix,5/10/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
6,6,6,Monaco Grand Prix,5/24/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
7,7,5,Turkish Grand Prix,6/7/12009,12:00:00,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
8,8,9,British Grand Prix,6/21/2009,12:00:00,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
9,9,20,German Grand Prix,7/12/2009,12:00:00,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
10,10,11,Hungarian Grand Prix,7/26/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix
11,11,12,European Grand Prix,8/23/2009,12:00:00,http://en.wikipedia.org/wiki/2009_European_Grand_Prix
12,12,13,Belgian Grand Prix,8/30/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix
13,13,14,Italian Grand Prix,9/13/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix
14,14,15,Singapore Grand Prix,9/27/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix
15,15,22,Japanese Grand Prix,10/4/2009,5:00:00,http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix
16,16,18,Brazilian Grand Prix,10/18/2009,16:00:00,http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix
17,17,24,Abu Dhabi Grand Prix,11/1/2009,11:00:00,http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix
18,1,1,Australian Grand Prix,3/16/2008,4:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix
19,2,2,Malaysian Grand Prix,3/23/2008,7:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix
20,3,3,Bahrain Grand Prix,4/6/2008,11:30:00,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix
21,4,4,Spanish Grand Prix,4/27/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix
22,5,5,Turkish Grand Prix,5/11/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix
23,6,6,Monaco Grand Prix,5/25/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix
24,7,7,Canadian Grand Prix,6/8/2008,17:00:00,http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix
25,8,8,French Grand Prix,6/22/2008,12:00:00,http://en.wikipedia.org/wiki/2008_French_Grand_Prix
26,9,9,British Grand Prix,7/6/2008,12:00:00,http://en.wikipedia.org/wiki/2008_British_Grand_Prix
27,10,10,German Grand Prix,,12:00:00,http://en.wikipedia.org/wiki/2008_German_Grand_Prix
28,11,11,Hungarian Grand Prix,8/3/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix
29,12,12,European Grand Prix,8/24/2008,12:00:00,http://en.wikipedia.org/wiki/2008_European_Grand_Prix
30,13,13,Belgian Grand Prix,9/7/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix
31,14,14,Italian Grand Prix,9/14/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix
32,15,15,Singapore Grand Prix,9/28/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Singapore_Grand_Prix
33,16,16,Japanese Grand Prix,10/12/2008,4:30:00,http://en.wikipedia.org/wiki/2008_Japanese_Grand_Prix
34,17,17,Chinese Grand Prix,10/19/2008,7:00:00,http://en.wikipedia.org/wiki/2008_Chinese_Grand_Prix
35,18,18,Brazilian Grand Prix,11/2/2008,17:00:00,http://en.wikipedia.org/wiki/2008_Brazilian_Grand_Prix
36,1,1,Australian Grand Prix,3/18/2007,3:00:00,http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix
37,2,2,Malaysian Grand Prix,4/8/2007,7:00:00,http://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix
38,3,3,Bahrain Grand Prix,4/15/2007,11:30:00,http://en.wikipedia.org/wiki/2007_Bahrain_Grand_Prix
39,4,4,Spanish Grand Prix,5/13/2007,12:00:00,http://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix
40,5,6,Monaco Grand Prix,5/27/2007,12:00:00,http://en.wikipedia.org/wiki/2007_Monaco_Grand_Prix
41,6,7,Canadian Grand Prix,6/10/2007,17:00:00,http://en.wikipedia.org/wiki/2007_Canadian_Grand_Prix
42,7,19,United States Grand Prix,6/17/2007,17:00:00,http://en.wikipedia.org/wiki/2007_United_States_Grand_Prix
43,8,8,French Grand Prix,7/1/2007,12:00:00,http://en.wikipedia.org/wiki/2007_French_Grand_Prix
44,9,9,British Grand Prix,7/8/2007,12:00:00,http://en.wikipedia.org/wiki/2007_British_Grand_Prix
45,10,20,European Grand Prix,7/22/2007,12:00:00,http://en.wikipedia.org/wiki/2007_European_Grand_Prix
46,11,11,Hungarian Grand Prix,8/5/2007,12:00:00,http://en.wikipedia.org/wiki/2007_Hungarian_Grand_Prix
47,12,5,Turkish Grand Prix,8/26/2007,12:00:00,http://en.wikipedia.org/wiki/2007_Turkish_Grand_Prix
48,13,14,Italian Grand Prix,9/9/2007,12:00:00,http://en.wikipedia.org/wiki/2007_Italian_Grand_Prix
49,14,13,Belgian Grand Prix,9/16/2007,12:00:00,http://en.wikipedia.org/wiki/2007_Belgian_Grand_Prix
